,CityName,Data_Value,PopulationCount,GeoLocation,CityFIPS
102,Roswell,23.7,"88,346","(34.0391384583, -84.3512225277)",1367284.0
3020,Columbus,38.2,"189,885","(32.5099614852, -84.8770410586)",1319000.0
4442,Boise City,27.9,"205,671","(43.5984343897, -116.230885189)",1608830.0
5766,Savannah,37.8,"136,286","(32.0283615157, -81.1783435493)",1369000.0
5792,Warner Robins,38.6,"66,588","(32.5985113609, -83.6530271267)",1380508.0
7660,Honolulu,23.8,"953,207","(21.4588039305, -157.973296737)",15003.0
10496,Nampa,36.5,"81,557","(43.5829315681, -116.564145085)",1656260.0
12594,Avondale,31.5,"76,238","(33.3858367405, -112.323626619)",404720.0
14680,Champaign,36.5,"81,055","(40.1151051361, -88.2729845986)",1712385.0
15202,Bloomington,32.4,"76,610","(40.4756778366, -88.9700813515)",1706613.0
22317,Arlington Heights,23.6,"75,101","(42.095623342, -87.9825627457)",1702154.0
24418,Aurora,32.5,"197,899","(41.7637750837, -88.2900949057)",1703012.0
27199,Bolingbrook,32.9,"73,366","(41.6911653908, -88.1011218035)",1707133.0
30892,Palatine,24.9,"68,557","(42.1180663695, -88.042989882)",1757225.0
32668,Peoria,37.3,"115,007","(40.7515684146, -89.615255458)",1759000.0
32824,Elgin,30.9,"108,188","(42.0385402472, -88.3224947104)",1723074.0
33117,Evanston,26.2,"74,486","(42.0463099649, -87.6940348773)",1724582.0
33881,Cicero,35.7,"83,891","(41.844539143, -87.7592873023)",1714351.0
37460,Chicago,33.0,"2,695,598","(41.8372950615, -87.6862308732)",1714000.0
39890,Naperville,26.1,"141,853","(41.7482001145, -88.1657705099)",1751622.0
40124,Decatur,38.8,"76,122","(39.8555822645, -88.9336983421)",1718823.0
42748,Joliet,36.7,"147,433","(41.5206390037, -88.1507097756)",1738570.0
44963,Fishers,26.3,"76,794","(39.9587635263, -85.969310702)",1823278.0
45906,Hammond,39.4,"80,830","(41.6171442828, -87.4909551115)",1831000.0
46434,Springfield,34.9,"116,250","(39.7716473322, -89.6540780049)",1772000.0
46672,Fort Wayne,35.3,"253,691","(41.0884920417, -85.1435898792)",1825000.0
48109,Waukegan,35.4,"89,078","(42.3702955582, -87.8712595095)",1779293.0
49821,Evansville,36.6,"117,429","(37.9867158026, -87.538270731)",1822000.0
52010,Carmel,25.5,"79,191","(39.9658404613, -86.1461278461)",1810342.0
52843,Schaumburg,23.1,"74,227","(42.0305488755, -88.0838663543)",1768003.0
59343,Indianapolis,35.8,"820,445","(39.7771221075, -86.145782152)",1836003.0
59534,Rockford,35.7,"152,871","(42.2633180015, -89.0625958362)",1765000.0
60719,Gary,49.1,"80,294","(41.5904779239, -87.3472907397)",1827000.0
61944,Muncie,39.0,"70,085","(40.1987098324, -85.3942940148)",1851876.0
63347,Olathe,28.0,"125,872","(38.884693021, -94.8192070197)",2052575.0
64311,Des Moines,39.3,"203,433","(41.5741349525, -93.6165066086)",1921000.0
64531,Overland Park,26.1,"173,372","(38.8872922575, -94.6872267067)",2053775.0
64804,South Bend,38.7,"101,168","(41.6769914549, -86.2690372417)",1871000.0
65735,Lawrence,29.9,"87,643","(38.9599302924, -95.2628259088)",2038900.0
66003,Cedar Rapids,34.5,"126,326","(41.966729258, -91.6781679349)",1912000.0
67291,Davenport,38.3,"99,685","(41.5557926876, -90.6051730163)",1919000.0
70469,Waterloo,36.7,"68,406","(42.4919736932, -92.3521759342)",1982425.0
73293,Topeka,38.1,"127,473","(39.0359549911, -95.6954155341)",2071000.0
73559,Iowa City,32.7,"67,862","(41.6558950332, -91.5308854927)",1938595.0
74705,Sioux City,35.8,"82,684","(42.4963149039, -96.3913834837)",1973335.0
75937,Kansas City,40.0,"145,786","(39.1234621409, -94.7441921112)",2036000.0
75953,Lafayette,36.4,"67,140","(40.3994285285, -86.8617007404)",1840788.0
79985,Kenner,36.0,"66,702","(30.0106937201, -90.2550320135)",2239475.0
81109,Lexington,31.0,"295,803","(38.0423254022, -84.4587259608)",2146027.0
87537,Lancaster,28.6,"156,633","(34.6934347017, -118.175306356)",640130.0
88101,Wichita,34.2,"382,368","(37.690561478, -97.3429366807)",2079000.0
90337,Lake Charles,38.0,"71,993","(30.2030679966, -93.2148796496)",2241155.0
90977,Baton Rouge,37.7,"229,493","(30.4510891679, -91.1263551997)",2205000.0
91046,Lafayette,33.9,"120,623","(30.2120582815, -92.0317532321)",2240735.0
93727,Louisville,34.5,"597,337","(38.1777689918, -85.6664099974)",2148006.0
95374,Cambridge,23.2,"105,162","(42.3758188051, -71.1183992378)",2511000.0
95704,Portland,24.1,"66,194","(43.6779836271, -70.2752544531)",2360545.0
98601,Shreveport,40.9,"199,311","(32.4671618864, -93.7962236108)",2270000.0
99491,New Orleans,36.1,"343,829","(30.0687009935, -89.9316317895)",2255000.0
102513,Brockton,34.1,"93,810","(42.082071372, -71.0241656338)",2509000.0
102996,Boston,26.7,"617,594","(42.3155796777, -71.0916505804)",2507000.0
108562,Baltimore,39.6,"620,961","(39.3084523991, -76.6160492311)",2404000.0
110985,Fall River,33.0,"88,857","(41.7139907598, -71.0996396919)",2523000.0
111403,Dearborn,32.2,"98,153","(42.3126884626, -83.2129368006)",2621000.0
113738,Worcester,31.4,"181,045","(42.2705425446, -71.8079404584)",2582000.0
114417,Somerville,24.2,"75,754","(42.3905738858, -71.1017450879)",2562535.0
114978,Detroit,44.9,"713,777","(42.3847015631, -83.1053178776)",2622000.0
117086,Lynn,30.3,"90,329","(42.4783322881, -70.9662372538)",2537490.0
117927,Quincy,22.7,"92,271","(42.2492981918, -71.0218764062)",2555745.0
121083,New Bedford,34.0,"95,072","(41.6712667258, -70.9441204537)",2545000.0
121930,Lawrence,34.4,"76,377","(42.7002772201, -71.1626790341)",2534550.0
122837,Ann Arbor,28.3,"113,934","(42.2756833567, -83.7311374448)",2603000.0
123032,Springfield,35.9,"153,060","(42.1154977999, -72.5395254143)",2567000.0
124324,Newton,20.7,"85,146","(42.3316567616, -71.2084466944)",2545560.0
126225,Lowell,27.6,"106,519","(42.6388727331, -71.321714396)",2537000.0
128569,Bloomington,24.1,"82,893","(44.8305852429, -93.3150995817)",2706616.0
129258,Warren,35.3,"134,056","(42.4934233034, -83.0270075248)",2684000.0
129812,Troy,21.7,"80,980","(42.5817340358, -83.1457545154)",2680700.0
130736,Southfield,34.3,"71,739","(42.4765016267, -83.2605284738)",2674900.0
131910,Kalamazoo,36.3,"74,262","(42.2748756474, -85.588188576)",2642160.0
133227,Livonia,26.3,"96,942","(42.3971592737, -83.3733073683)",2649000.0
134331,Sterling Heights,31.7,"129,699","(42.580985283, -83.0303680858)",2676460.0
136910,Lansing,35.9,"114,297","(42.7090711751, -84.5584470022)",2646000.0
138080,Farmington Hills,25.1,"79,740","(42.4859956992, -83.3771159714)",2627440.0
138109,Westland,31.1,"84,094","(42.3192220455, -83.3805461719)",2686000.0
139455,Duluth,28.9,"86,265","(46.7854703427, -92.1342013763)",2717000.0
140304,Rochester Hills,23.2,"70,995","(42.6645256768, -83.1563037157)",2669035.0
140485,Wyoming,33.0,"72,125","(42.8909745661, -85.7067229249)",2688940.0
141311,Brooklyn Park,26.2,"75,781","(45.1112033916, -93.3505067942)",2707966.0
141908,Flint,48.2,"102,434","(43.0236339386, -83.6920640313)",2629000.0
145240,St. Paul,28.6,"285,068","(44.9477402558, -93.1039958305)",2758000.0
146149,Kansas City,35.7,"459,787","(39.1239413971, -94.5541236795)",2938000.0
148359,Columbia,31.0,"108,500","(38.9481109651, -92.3260129764)",2915670.0
